name,type,lat,lon
TENNE,school,14.55,-3.348
THOMAS GUIROU DIANKABOU,school,14.5838384,-3.0801838
THY,school,14.6,-4.064
TOUMPOU,school,14.5450757,-3.8249254
TUOL,school,14.65,-3.442
YANDAKOU,school,14.66,-3.142
YANDA-TOURGO,school,14.64848,-3.14307
YANGASSADIOU [1er C],school,14.65195,-1.77564
YANGASSADIOU SC,school,14.65195,-1.77564
YENDOUMA,school,14.56,-3.24
YENDOUMA - ATÔ,school,14.56,-3.24
YENDOUMA [2ème C],school,14.56,-3.24
YEREMDOUROU,school,14.51,-2.099
AL TAKAFOU-OU BATAMA [1er C],school,14.58585,-10.9933167
AL TAKAFOU-OU BATAMA [2ème C],school,14.58585,-10.9933167
AMBIDEDI POSTE 1;AMBIDEDI POSTE [2ème C],school,14.5851312,-11.7877816
BAMBELA,school,14.6371178,-11.570424
BAMBELA [2ème C],school,14.6361774,-11.5709323
BANAYA,school,14.5294333,-11.1488667
